Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BZ1","Buzzer","MagneticBuzzer_Kingstate_KCG0601",119.500000,-132.500000,90.000000,top
"C2","22p","C_0201_0603Metric",109.485000,-111.160000,180.000000,top
"C3","22p","C_0201_0603Metric",107.290000,-112.110000,90.000000,top
"C4","22u","C_0201_0603Metric",108.040000,-123.260000,-90.000000,top
"C5","22u","C_0201_0603Metric",106.845000,-124.260000,180.000000,top
"C6","1u","C_0201_0603Metric",116.150000,-121.390000,0.000000,top
"C7","0u1","C_0201_0603Metric",110.147500,-120.015000,-90.000000,top
"C8","10u","C_0201_0603Metric",97.140000,-97.585000,90.000000,top
"C9","2u2","C_0201_0603Metric",103.000000,-99.345000,90.000000,top
"C10","100u","CP_Elec_6.3x5.4",98.000000,-103.900000,180.000000,top
"C11","1u","C_0201_0603Metric",107.020000,-125.445000,-90.000000,top
"C12","4n7","C_0201_0603Metric",94.030000,-100.955000,-90.000000,top
"C13","100n","C_0201_0603Metric",93.280000,-100.960000,-90.000000,top
"D1","PRTR5V0U2X","SOT-143",124.550000,-94.500000,90.000000,top
"D2","LED","LED_0201_0603Metric",111.700051,-94.436511,-45.000000,top
"D3","LED","LED_0201_0603Metric",114.085973,-96.602837,-45.000000,top
"D5","GREEN","LED_0201_0603Metric",117.820000,-121.000000,180.000000,top
"D6","PMEG6020ER","Nexperia_CFP3_SOD-123W",107.280000,-120.187500,90.000000,top
"D7","LED","LED_0201_0603Metric",126.070000,-90.829974,90.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4085",128.550000,-98.204974,90.000000,top
"J2","Conn_02x03_Pin","PinHeader_2x03_P2.54mm_Vertical",126.920000,-106.040000,90.000000,top
"J3","Micro_SD_Card_Det1","microSD_HC_Molex_104031-0811",99.500000,-127.500000,90.000000,top
"J4","STARBOARD_SERVO","PinHeader_1x03_P2.54mm_Vertical",101.350000,-86.420000,0.000000,top
"J5","PORTSIDE_SERVO","PinHeader_1x03_P2.54mm_Vertical",105.000000,-86.420000,0.000000,top
"J6","Battery In","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",94.950000,-94.000000,90.000000,top
"J7","EJECTION_SERVO","PinHeader_1x03_P2.54mm_Vertical",108.650000,-86.425000,0.000000,top
"L1","6u8","L_0402_1005Metric",102.560000,-97.435001,-90.000000,top
"PORTSIDE_RGB1","SMLVN6RGB","LED_ROHM_SMLVN6",97.000000,-109.500000,180.000000,top
"Q1","BSS138","SOT-23",116.819872,-87.023464,45.000000,top
"Q2","BSS138","SOT-23",111.374220,-99.208525,-135.000000,top
"Q3","BSS138","SOT-23",108.871625,-96.745215,-135.000000,top
"Q4","BSS138","SOT-23",114.000000,-128.500000,0.000000,top
"R1","4.7kΩ","R_0402_1005Metric",125.460000,-123.090000,180.000000,top
"R2","4k7","R_0402_1005Metric",117.192785,-96.410551,45.000000,top
"R3","330","R_0402_1005Metric",115.262785,-95.830551,-135.000000,top
"R4","330","R_0402_1005Metric",112.161438,-93.653391,-45.000000,top
"R5","0","R_0402_1005Metric",114.139376,-90.139376,-45.000000,top
"R6","4k7","R_0402_1005Metric",115.102785,-88.760551,-45.000000,top
"R7","4k7","R_0402_1005Metric",115.160000,-85.530000,45.000000,top
"R9","4k7","R_0402_1005Metric",110.584590,-95.018107,135.000000,top
"R10","4k7","R_0402_1005Metric",113.283409,-97.681177,135.000000,top
"R11","4k7","R_0402_1005Metric",116.502161,-95.039927,-45.000000,top
"R12","4k7","R_0402_1005Metric",107.500000,-99.000000,135.000000,top
"R13","4k7","R_0402_1005Metric",109.000000,-100.500000,-45.000000,top
"R14","100k","R_0402_1005Metric",108.920000,-123.490000,-90.000000,top
"R15","100k","R_0402_1005Metric",108.910000,-125.679999,-90.000000,top
"R16","19k1","R_0402_1005Metric",107.900000,-125.680000,90.000000,top
"R17","330R","R_0402_1005Metric",116.000000,-120.500000,0.000000,top
"R18","10k","R_0402_1005Metric",111.647500,-120.230000,-90.000000,top
"R19","4k7","R_0402_1005Metric",112.647500,-120.230000,-90.000000,top
"R20","4k7","R_0402_1005Metric",114.500000,-120.230000,-90.000000,top
"R21","2k2","R_0402_1005Metric",126.430624,-111.890624,135.000000,top
"R22","2k2","R_0402_1005Metric",113.450001,-109.530000,0.000000,top
"R23","10k","R_0402_1005Metric",112.000000,-110.560000,180.000000,top
"R24","10k","R_0402_1005Metric",104.210000,-113.100000,0.000000,top
"R25","220","R_0402_1005Metric",127.895000,-109.030000,0.000000,top
"R26","220","R_0402_1005Metric",127.895000,-110.070000,0.000000,top
"R27","220","R_0402_1005Metric",127.895000,-111.120000,0.000000,top
"R28","220","R_0402_1005Metric",100.535000,-110.530000,0.000000,top
"R29","220","R_0402_1005Metric",100.525000,-109.500000,0.000000,top
"R30","220","R_0402_1005Metric",100.525000,-108.450000,0.000000,top
"R31","5k1","R_0402_1005Metric",126.970000,-98.000000,-90.000000,top
"R32","5k1","R_0402_1005Metric",131.979999,-101.140000,0.000000,top
"R33","5m","R_0402_1005Metric",103.560000,-97.455000,-90.000000,top
"R34","2k2","R_0402_1005Metric",111.500000,-128.500000,-90.000000,top
"R35","R220","R_0402_1005Metric",126.950000,-91.299975,-90.000000,top
