Comment,Designator,Footprint,LCSC
"Buzzer","BZ1","Buzzer_Beeper:MagneticBuzzer_Kingstate_KCG0601",""
"100u","C10","Capacitor_SMD:CP_Elec_6.3x5.4",""
"4n7","C12","Capacitor_SMD:C_0201_0603Metric",""
"100n","C13","Capacitor_SMD:C_0201_0603Metric",""
"22p","C2,C3","Capacitor_SMD:C_0201_0603Metric",""
"22u","C4,C5","Capacitor_SMD:C_0201_0603Metric",""
"1u","C6,C11","Capacitor_SMD:C_0201_0603Metric",""
"0u1","C7","Capacitor_SMD:C_0201_0603Metric",""
"10u","C8","Capacitor_SMD:C_0201_0603Metric",""
"2u2","C9","Capacitor_SMD:C_0201_0603Metric",""
"PRTR5V0U2X","D1","Package_TO_SOT_SMD:SOT-143",""
"LED","D2,D3,D7","LED_SMD:LED_0201_0603Metric",""
"DNP","D4","",""
"GREEN","D5","LED_SMD:LED_0201_0603Metric",""
"PMEG6020ER","D6","Diode_SMD:Nexperia_CFP3_SOD-123W",""
"USB_C_Receptacle_USB2.0_16P","J1","Connector_USB:USB_C_Receptacle_Amphenol_12401548E4-2A",""
"Conn_02x03_Pin","J2","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"Micro_SD_Card_Det1","J3","Connector_Card:microSD_HC_Molex_104031-0811",""
"STARBOARD_SERVO","J4","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"PORTSIDE_SERVO","J5","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Battery In","J6","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"EJECTION_SERVO","J7","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Jumper_2_Small_Open","JP1,JP2","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm",""
"6u8","L1","Inductor_SMD:L_0402_1005Metric",""
"SMLVN6RGB","PORTSIDE_RGB1,STARBOARD_RGB1","LED_SMD:LED_ROHM_SMLVN6",""
"BSS138","Q1,Q2,Q3,Q4","Package_TO_SOT_SMD:SOT-23",""
"4.7kΩ","R1,R36","Resistor_SMD:R_0402_1005Metric",""
"100k","R14,R15","Resistor_SMD:R_0402_1005Metric",""
"19k1","R16","Resistor_SMD:R_0402_1005Metric",""
"330R","R17","Resistor_SMD:R_0402_1005Metric",""
"10k","R18,R23,R24","Resistor_SMD:R_0402_1005Metric",""
"4k7","R2,R6,R7,R9,R10,R11,R12,R13,R19,R20","Resistor_SMD:R_0402_1005Metric",""
"2k2","R21,R22,R34","Resistor_SMD:R_0402_1005Metric",""
"220","R25,R26,R27,R28,R29,R30","Resistor_SMD:R_0402_1005Metric",""
"330","R3,R4","Resistor_SMD:R_0402_1005Metric",""
"5k1","R31,R32","Resistor_SMD:R_0402_1005Metric",""
"5m","R33","Resistor_SMD:R_0402_1005Metric",""
"R220","R35","Resistor_SMD:R_0402_1005Metric",""
"0","R5","Resistor_SMD:R_0402_1005Metric",""
"DNP","R8","Resistor_SMD:R_0402_1005Metric",""
"TestPoint","TP1,TP2,TP3,TP4,TP5,TP6,TP7","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"ATSAMD11D14A-M","U1","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",""
"BMP390L","U10","BMP390L:XDCR_BMP390L",""
"ATmega4809-A","U2","Package_QFP:TQFP-48_7x7mm_P0.5mm",""
"AT25DF641A-SH-T","U3","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"AP2112K-3.3","U4","Package_TO_SOT_SMD:SOT-23-5",""
"BD1020HFV","U5","Package_TO_SOT_SMD:HVSOF5",""
"BNO086","U6","Package_LGA:LGA-28_5.2x3.8mm_P0.5mm",""
"TXB0104D","U7","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm",""
"TPS61092","U8","Package_DFN_QFN:DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm_ThermalVias",""
"MPM3610AGQV-P","U9","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias",""
"32.768kHz","Y1","Crystal:Crystal_C26-LF_D2.1mm_L6.5mm_Vertical",""
