Designator,Mid X,Mid Y,Rotation,Layer
BZ1,119.5,-130.9,90.0,top
C10,98.0,-103.9,0.0,top
C11,107.02,-125.445,270.0,top
C12,94.03,-100.955,270.0,top
C13,93.28,-100.96,270.0,top
C2,109.485,-111.16,180.0,top
C3,107.29,-112.11,90.0,top
C4,108.04,-123.26,270.0,top
C5,106.845,-124.26,180.0,top
C6,116.15,-121.39,0.0,top
C7,110.1475,-120.015,270.0,top
C8,97.14,-97.585,90.0,top
C9,103.0,-99.345,90.0,top
D1,124.55,-94.5,270.0,top
D2,111.700051,-94.436511,315.0,top
D3,114.085973,-96.602837,315.0,top
D5,117.82,-121.0,180.0,top
D6,107.28,-120.1875,90.0,top
D7,126.07,-90.829974,90.0,top
J1,130.98,-95.229974,90.0,top
J2,129.46,-104.77,90.0,top
J3,99.5,-127.5,90.0,top
J4,101.35,-88.96,0.0,top
J5,105.0,-88.96,0.0,top
J6,94.95,-92.999999,90.0,top
J7,108.65,-88.965,0.0,top
L1,102.56,-97.435001,270.0,top
PORTSIDE_RGB1,97.0,-109.5,180.0,top
Q1,116.819872,-87.023464,225.0,top
Q2,111.37422,-99.208525,45.0,top
Q3,108.871625,-96.745215,45.0,top
Q4,114.0,-128.5,180.0,top
R1,125.46,-123.09,180.0,top
R10,113.283409,-97.681177,135.0,top
R11,116.502161,-95.039927,315.0,top
R12,107.5,-99.0,135.0,top
R13,109.0,-100.5,315.0,top
R14,108.92,-123.49,270.0,top
R15,108.91,-125.679999,270.0,top
R16,107.9,-125.68,90.0,top
R17,116.0,-120.5,0.0,top
R18,111.6475,-120.23,270.0,top
R19,112.6475,-120.23,270.0,top
R2,117.192785,-96.410551,45.0,top
R20,114.5,-120.23,270.0,top
R21,126.430624,-111.890624,135.0,top
R22,113.450001,-109.53,0.0,top
R23,112.0,-110.56,180.0,top
R24,104.21,-113.1,0.0,top
R25,127.895,-109.03,0.0,top
R26,127.895,-110.07,0.0,top
R27,127.895,-111.12,0.0,top
R28,100.535,-110.53,0.0,top
R29,100.525,-109.5,0.0,top
R3,115.262785,-95.830551,225.0,top
R30,100.525,-108.45,0.0,top
R31,126.97,-98.0,270.0,top
R32,131.979999,-101.14,0.0,top
R33,103.56,-97.455,270.0,top
R34,111.5,-128.5,270.0,top
R35,126.95,-91.299975,270.0,top
R36,122.43,-123.73,90.0,top
R4,112.161438,-93.653391,315.0,top
R5,114.139376,-90.139376,315.0,top
R6,115.102785,-88.760551,315.0,top
R7,115.16,-85.53,45.0,top
R9,110.58459,-95.018107,135.0,top
STARBOARD_RGB1,131.425,-110.07,0.0,top
U1,117.969542,-92.077346,315.0,top
U10,124.64,-124.9,0.0,top
U2,120.5,-111.160551,45.0,top
U3,129.370192,-120.221196,0.0,top
U4,116.75,-123.89,270.0,top
U5,118.500001,-119.5,180.0,top
U6,113.5,-116.8,0.0,top
U7,97.82,-116.5,0.0,top
U8,99.9,-98.415,90.0,top
U9,112.0425,-123.97,180.0,top
Y1,109.38,-113.3,180.0,top
