Designator,Footprint,Quantity,Value,LCSC Part #,,,,
BZ1,MagneticBuzzer_PUI_AT-0927-TT-6-R,1,Buzzer,668-1462-ND,,,,
C1,603,1,4n7,311-1083-1-ND,,,,
C10,603,1,1uF,1276-1946-1-ND,,,,
"C11, C17, C19, C20, C21, C22, C3, C6, C7",603,9,100nF,311-1088-1-ND,,,,
C12,603,1,2u2,1276-1040-1-ND,,,,
C13,CP_Radial_D4.0mm_P2.00mm,1,100u,https://www.adafruit.com/product/2193?gQT=1,,,,
"C14, C23",603,2,10uF,1276-1038-1-ND,,,,
C15,603,1,3.3 nF,478-KGM15AR71E332KTCT-ND,,,,
C16,603,1,22uF,1276-1274-1-ND,,,,
C18,603,1,1u,1276-1946-1-ND,,,,
C2,603,1,100n,311-1088-1-ND,,,,
,,,,,,,,
"C26, C27",201,2,100nF,311-1088-1-ND,,,,
C4,603,1,22pF,478-KGM15ACG1C220KTCT-ND,,,,
C5,603,1,22p,478-KGM15ACG1C220KTCT-ND,,,,
C8,603,1,10u,1276-1038-1-ND,,,,
"D1, D13, D14, D3, D5",201,5,LED,1497-1380-1-ND,,,,
"D15, D16, D17",Nexperia_CFP3_SOD-123W,3,PMEG6020ER,1727-5217-1-ND,,,,
D2,SOT-143,1,PRTR5V0U2X,1727-3884-1-ND,,,,a
"D7, D8",LED_ROHM_SMLVN6,2,SMLVN6RGB,846-1187-1-ND,,,,
J1,USB_C_Receptacle_Amphenol_124019772112A,1,USB_C_Receptacle_USB2.0_16P,664-124019772112ACT-ND,,,,
J2,microSD_HC_Hirose_DM3D-SF,1,Micro_SD_Card_Det1,HR1941CT-ND,,,,
J3,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,952-2121-ND,,,,
"J4, J5, J6",PinHeader_1x03_P2.54mm_Vertical,3,Conn_01x03,609-3470-ND,,,,
J7,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Pin,S9014E-02-ND,,,,
"JP1, JP2",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,2,Jumper_2_Small_Open,,,,,
L1,L_7.3x7.3_H4.5,1,SLF7055T-6R8N2R8-3PF,445-4564-1-ND,,,,
Q1,SOT-23,1,DMG2301L,DMG2301L-7DICT-ND,,,,
Q4,SOT-23,1,BSS138,5399-BSS138CT-ND,,,,
"R1, R2, R34",603,3,2k2,311-2.20KHRCT-ND,,,,
"R10, R7, R8, R9",603,4,4k7,311-4.70KHRCT-ND,,,,
"R11, R13, R39, R4",603,4,330,P330DBCT-ND,,,,
R12,603,1,0,311-0.0GRCT-ND,,,,
"R21, R22, R23, R24, R25, R26",603,6,220,A130087CT-ND,,,,
"R27, R28, R30, R37",603,4,100k,311-100KHRCT-ND,,,,
R29,603,1,315k,RMCF0603FT316KCT-ND,,,,
"R3, R31, R32, R33",603,4,10k,2019-RK73H1JTTD1002FCT-ND,,,,
R35,603,1,350k,311-348KHRCT-ND,,,,
R38,603,1,100,P100HCT-ND,,,,
"R5, R6",603,2,5k1,P5.1KBECT-ND,,,,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_1.0x1.0mm,9,TestPoint,,,,,
U1,Texas_SIL0008D_MicroSiP-8-1EP_2.8x3mm_P0.65mm_EP1.1x1.9mm_ThermalVias,1,TPS82130,296-47436-1-ND,,,,
U10,TQFP-48_7x7mm_P0.5mm,1,ATmega4809-A,150-ATMEGA4809-AU-ND,,,,
U12,SOT-23-5,1,AP2112K-3.3,AP2112K-3.3TRG1DICT-ND,,,,
U3,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,ATSAMD11D14A-M,ATSAMD11D14A-MUTCT-ND,,,,
U4,ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,1,BMP390L,https://www.mouser.com/ProductDetail/Bosch-Sensortec/BMP390?qs=QNEnbhJQKvYQVfvRMgo2YA%3D%3D,,,,
U5,HVSOF5,1,BD1020HFV-TR,BD1020HFVCT-ND,,,,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,AT25DF641A-SH-T,1695-AT25DF641A-SH-B-ND,,,,
U7,TSOT-23-6,1,LTC4412xS6,505-LTC4412ES6#TRMPBFCT-ND,,,,
U8,LGA-28_5.2x3.8mm_P0.5mm,1,BNO055,https://www.mouser.com/ProductDetail/Bosch-Sensortec/BNO055?qs=QhAb4EtQfbV8Z2YmISucWw%3D%3D,,,,
U9,Texas_RSA_VQFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm_ThermalVias,1,TPS61092,296-15240-1-ND,,,,
Y1,Crystal_C26-LF_D2.1mm_L6.5mm_Vertical,1,32.768kHz,300-8301-ND,,,,
