Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_Every,
BZ2,Buzzer_12x9.5RM7.6,1,Buzzer,
"C1, C20, C21, C22, C3",0805,5,0.1uF,
"C10, C8",0805,2,100n,
C11,0805,1,1uF,
"C14, C2",0805,2,10uF,
C15,0805,1,3.3 nF,
C16,0805,1,22uF,
C18,0805,1,1u,
C4,0805,1,1nF,
C6,0805,1,1000uF,
"C7, C9",0805,2,100uF,
"D10, D14, D8, D9",LED_D3.0mm,4,LED,
"D11, D12, D13",D_SOD-123F,3,1N4007,
D15,Nexperia_CFP3_SOD-123W,1,PMEG6020ER,
"D16, D17",0201,2,LED,
IC1,SOIC-8_3.9x4.9mm_P1.27mm,1,LM555N,
J3,AMASS_XT60-F_1x02_P7.20mm_Vertical,1,Conn_01x02_Pin,
J4,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
L3,L_7.3x7.3_H4.5,1,SLF7055T-6R8N2R8-3PF,
R1,0805,1,52.3k,
"R10, R3",0805,2,1k,
"R11, R12",0805,2,4k7,
"R2, R9",0805,2,10k,
R35,0805,1,350k,
R37,0805,1,100k,
R38,0805,1,100,
R39,0805,1,330,
"R4, R5",0805,2,R,
"R6, R7",0805,2,2k2,
R8,0805,1,470,
"SW10, SW7",PinHeader_1x03_P2.54mm_Vertical,2,SW_DPDT_x2,
SW2,PinHeader_1x03_P2.54mm_Vertical,1,SW_SPDT,
"SW3, SW4",PinHeader_1x02_P2.54mm_Vertical,2,SW_DPST_x2,
SW9,PinHeader_1x02_P2.54mm_Vertical,1,SW_Push,
U1,SOT-23-6,1,TPS54308,
U12,SOT-23-5,1,AP2112K-3.3,
U2,Texas_SIL0008D_MicroSiP-8-1EP_2.8x3mm_P0.65mm_EP1.1x1.9mm_ThermalVias,1,TPS82130,
U4,ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,1,BMP390L,
U5,HVSOF5,1,BD1020HFV-TR,
U6,DIP-4_W7.62mm,1,PC817,
