Comment,Designator,Footprint,LCSC
"Buzzer","BZ1","Buzzer_Beeper:MagneticBuzzer_Kingstate_KCG0601","C2877"
"100u","C10","Capacitor_SMD:CP_Elec_6.3x5.4","C1584401"
"4n7","C12","Capacitor_SMD:C_0201_0603Metric","C85927"
"100n","C13","Capacitor_SMD:C_0201_0603Metric","C668346"
"22p","C2,C3","Capacitor_SMD:C_0201_0603Metric","C76919"
"22u","C4,C5","Capacitor_SMD:C_0201_0603Metric","C77042"
"1u","C6,C11","Capacitor_SMD:C_0201_0603Metric","C5209398"
"100nF","C7","Capacitor_SMD:C_0201_0603Metric","C668346"
"10u","C8","Capacitor_SMD:C_0201_0603Metric","C77041"
"2u2","C9","Capacitor_SMD:C_0201_0603Metric","C2176662"
"PRTR5V0U2X","D1","Package_TO_SOT_SMD:SOT-143","C23257"
"LED","D2,D3,D7","LED_SMD:LED_0201_0603Metric","C22964"
"DNP","D4","",""
"GREEN","D5","LED_SMD:LED_0201_0603Metric","C22964"
"PMEG6020ER","D6","Diode_SMD:Nexperia_CFP3_SOD-123W","C8543"
"USB_C_Receptacle_USB2.0_16P","J1","Connector_USB:USB_C_Receptacle_GCT_USB4085","C4726"
"Conn_02x03_Pin","J2","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","C14696"
"Micro_SD_Card_Det1","J3","Connector_Card:microSD_HC_Molex_104031-0811","C131355"
"STARBOARD_SERVO","J4","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","C14697"
"PORTSIDE_SERVO","J5","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","C14697"
"Battery In","J6","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","C3965"
"EJECTION_SERVO","J7","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","C14697"
"Jumper_2_Small_Open","JP1,JP2","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm",""
"6u8","L1","Inductor_SMD:L_0402_1005Metric","C1575"
"SMLVN6RGB","PORTSIDE_RGB1,STARBOARD_RGB1","LED_SMD:LED_ROHM_SMLVN6","C22964"
"BSS138","Q1,Q2,Q3,Q4","Package_TO_SOT_SMD:SOT-23","C8553"
"4.7kΩ","R1,R36","Resistor_SMD:R_0402_1005Metric","C25822"
"100k","R14,R15","Resistor_SMD:R_0402_1005Metric","C25824"
"19k1","R16","Resistor_SMD:R_0402_1005Metric","C25823"
"330R","R17","Resistor_SMD:R_0402_1005Metric","C25821"
"10k","R18,R23,R24","Resistor_SMD:R_0402_1005Metric","C25825"
"4k7","R2,R6,R7,R9,R10,R11,R12,R13,R19,R20","Resistor_SMD:R_0402_1005Metric","C25822"
"2k2","R21,R22,R34","Resistor_SMD:R_0402_1005Metric","C25820"
"220","R25,R26,R27,R28,R29,R30","Resistor_SMD:R_0402_1005Metric","C25819"
"330","R3,R4","Resistor_SMD:R_0402_1005Metric","C25821"
"5k1","R31,R32","Resistor_SMD:R_0402_1005Metric","C25822"
"5m","R33","Resistor_SMD:R_0402_1005Metric","C25826"
"R220","R35","Resistor_SMD:R_0402_1005Metric","C25819"
"0","R5","Resistor_SMD:R_0402_1005Metric","C25818"
"DNP","R8","Resistor_SMD:R_0402_1005Metric",""
"TestPoint","TP1,TP2,TP3,TP4,TP5,TP6,TP7","TestPoint:TestPoint_Pad_1.0x1.0mm","C123456"
"ATSAMD11D14A-M","U1","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","C12345"
"BMP390L","U10","BMP390L:XDCR_BMP390L","C67890"
"ATmega4809-A","U2","Package_QFP:TQFP-48_7x7mm_P0.5mm","C23456"
"AT25DF641A-SH-T","U3","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C34567"
"AP2112K-3.3","U4","Package_TO_SOT_SMD:SOT-23-5","C45678"
"BD1020HFV","U5","Package_TO_SOT_SMD:HVSOF5","C56789"
"BNO086","U6","Package_LGA:LGA-28_5.2x3.8mm_P0.5mm","C67891"
"TXB0104D","U7","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","C78901"
"TPS61092","U8","Package_DFN_QFN:DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm_ThermalVias","C89012"
"MPM3610AGQV-P","U9","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias","C5173872"
"32.768kHz","Y1","Crystal:Crystal_C26-LF_D2.1mm_L6.5mm_Vertical",""
